Date,Sales,Product,Region,Cost,Price
01-01-2024,1200,Widget A,North,700,1500
08-01-2024,1350,Widget A,North,760,1650
15-01-2024,1280,Widget B,South,710,1580
22-01-2024,1425,Widget B,South,800,1725
29-01-2024,1500,Widget A,East,850,1800
05-02-2024,1475,Widget C,West,830,1775
12-02-2024,1600,Widget C,West,900,1900
19-02-2024,1550,Widget A,North,880,1850
26-02-2024,1680,Widget B,South,950,1980
04-03-2024,1725,Widget A,East,980,2025
11-03-2024,1800,Widget C,West,1020,2100
18-03-2024,1760,Widget B,South,1000,2060
25-03-2024,1900,Widget A,North,1100,2200
01-04-2024,1850,Widget C,East,1060,2150
08-04-2024,1950,Widget B,West,1120,2250
15-04-2024,2050,Widget A,North,1180,2350
22-04-2024,1980,Widget C,South,1140,2280
29-04-2024,2100,Widget B,East,1220,2400
06-05-2024,2200,Widget A,West,1280,2500
13-05-2024,2150,Widget C,North,1240,2450
20-05-2024,2300,Widget B,South,1350,2600
27-05-2024,2400,Widget A,East,1400,2700
03-06-2024,2350,Widget C,West,1360,2650
10-06-2024,2480,Widget B,North,1420,2780
17-06-2024,2550,Widget A,South,1460,2850
24-06-2024,2620,Widget C,East,1500,2920
